unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1769959740,2026-02-01T15:29:00.0000000Z,BTC-USDT,76954.3,77085.6,76954.2,76989.6,5.4035986,416020.89477456
1769959800,2026-02-01T15:30:00.0000000Z,BTC-USDT,76988.1,77087.2,76908.8,76908.8,11.77661767,905725.533058496
1769959860,2026-02-01T15:31:00.0000000Z,BTC-USDT,76908.6,77172.7,76880,77142.1,26.11620296,2014658.740360616
1769959920,2026-02-01T15:32:00.0000000Z,BTC-USDT,77140.1,77148,76918,77013,16.77566896,1291944.59361648
1769959980,2026-02-01T15:33:00.0000000Z,BTC-USDT,77012.9,77143,76989.5,77027,6.96852134,536764.29325618
1769960040,2026-02-01T15:34:00.0000000Z,BTC-USDT,77020.9,77101.6,76969.9,77058.9,6.61862679,510024.099947931
1769960100,2026-02-01T15:35:00.0000000Z,BTC-USDT,77056,77101,76931.1,76987,6.19617118,477024.63063466
1769960160,2026-02-01T15:36:00.0000000Z,BTC-USDT,76987.1,77027.3,76922.1,76970.2,9.09318429,699904.213438158
1769960220,2026-02-01T15:37:00.0000000Z,BTC-USDT,76970.1,77031.3,76947.3,76973,8.81978611,678885.39624503
1769960280,2026-02-01T15:38:00.0000000Z,BTC-USDT,76973,77206.3,76780,77111.8,22.87231824,1763725.629659232
1769960340,2026-02-01T15:39:00.0000000Z,BTC-USDT,77108.9,77399.9,77014.1,77290.4,21.2169396,1639865.74845984
1769960400,2026-02-01T15:40:00.0000000Z,BTC-USDT,77290,77326.6,77058.4,77191.9,29.7794499,2298732.31873581
1769960460,2026-02-01T15:41:00.0000000Z,BTC-USDT,77188,77222,77125,77177.9,10.70621452,826283.153603108
1769960520,2026-02-01T15:42:00.0000000Z,BTC-USDT,77190,77291.5,77170.1,77196,3.81000209,294116.92133964
1769960580,2026-02-01T15:43:00.0000000Z,BTC-USDT,77196,77250,77170,77218.2,8.8048221,679892.51388222
1769960640,2026-02-01T15:44:00.0000000Z,BTC-USDT,77220,77222.6,77150.6,77174,2.08048178,160559.10088972
1769960700,2026-02-01T15:45:00.0000000Z,BTC-USDT,77174.1,77333.3,77153.1,77201.8,12.34933417,953390.826725506
1769960760,2026-02-01T15:46:00.0000000Z,BTC-USDT,77201.8,77312.9,77155.6,77295.8,4.58390079,354316.278683682
1769960820,2026-02-01T15:47:00.0000000Z,BTC-USDT,77289.1,77338.9,77236.9,77266.1,3.6993606,285835.16605566
1769960880,2026-02-01T15:48:00.0000000Z,BTC-USDT,77266,77478.4,77253.8,77366.2,8.55034423,661507.641767026
1769960940,2026-02-01T15:49:00.0000000Z,BTC-USDT,77364.9,77480.1,77364.9,77396.1,9.1476546,707992.79018706
1769961000,2026-02-01T15:50:00.0000000Z,BTC-USDT,77396.1,77452.5,77334.3,77419.9,3.03174911,234717.712921289
1769961060,2026-02-01T15:51:00.0000000Z,BTC-USDT,77419.9,77539.9,77416,77520,5.87363526,455324.20535520
1769961120,2026-02-01T15:52:00.0000000Z,BTC-USDT,77521,77573.1,77474.4,77551.8,5.17042548,400975.802739864
1769961180,2026-02-01T15:53:00.0000000Z,BTC-USDT,77553,77588.6,77472.1,77474.1,3.54233432,274439.163341112
1769961240,2026-02-01T15:54:00.0000000Z,BTC-USDT,77475.5,77543,77475.5,77539,1.62933896,126337.31361944
1769961300,2026-02-01T15:55:00.0000000Z,BTC-USDT,77539,77587.9,77533,77552,1.6721552,129678.9800704
1769961360,2026-02-01T15:56:00.0000000Z,BTC-USDT,77558.8,77610,77556.1,77587,3.22129586,249930.68188982
1769961420,2026-02-01T15:57:00.0000000Z,BTC-USDT,77590.6,77869.8,77590.6,77707.8,10.54386606,819340.635017268
1769961480,2026-02-01T15:58:00.0000000Z,BTC-USDT,77719.8,77808.4,77693.9,77700,7.5100706,583532.4856200
1769961540,2026-02-01T15:59:00.0000000Z,BTC-USDT,77704,77724,77572.4,77600.9,10.13515113,786496.849324017
1769961600,2026-02-01T16:00:00.0000000Z,BTC-USDT,77601.9,77602,77404,77404,17.37841854,1345159.10867016
1769961660,2026-02-01T16:01:00.0000000Z,BTC-USDT,77403.9,77479.3,77348.8,77348.8,17.29980045,1338118.805046960
1769961720,2026-02-01T16:02:00.0000000Z,BTC-USDT,77348.6,77375.6,77108.6,77121.1,16.0869744,1240645.16139984
1769961780,2026-02-01T16:03:00.0000000Z,BTC-USDT,77120.9,77189.4,77101.4,77101.5,9.33389489,719657.296861335
1769961840,2026-02-01T16:04:00.0000000Z,BTC-USDT,77101.5,77165.4,77094.2,77152.1,4.58459583,353711.195935743
1769961900,2026-02-01T16:05:00.0000000Z,BTC-USDT,77152.1,77356.6,77127.1,77356.6,4.67772323,361852.764813818
1769961960,2026-02-01T16:06:00.0000000Z,BTC-USDT,77355.9,77583.2,77344.7,77415.9,28.1412466,2178579.93266094
